========
Segment 0, number of frames = 100, viterbi-score = -11.881226
Printing random variables from (P',C',E')=(1,98,1) modified partitions
Ptn-73 C: H0(73)=1,H1(73)=1,H2(73)=1,M0(73)=2,M1(73)=2,M2(73)=1
Ptn-74 C: H0(74)=1,H1(74)=1,H2(74)=1,M0(74)=2,M1(74)=2,M2(74)=1
Ptn-75 C: H0(75)=1,H1(75)=1,H2(75)=1,M0(75)=2,M1(75)=2,M2(75)=1
Ptn-76 C: H0(76)=1,H1(76)=1,H2(76)=1,M0(76)=2,M1(76)=2,M2(76)=1
Ptn-77 C: H0(77)=1,H1(77)=1,H2(77)=1,M0(77)=2,M1(77)=2,M2(77)=1
Ptn-78 C: H0(78)=1,H1(78)=1,H2(78)=1,M0(78)=2,M1(78)=2,M2(78)=1
Ptn-79 C: H0(79)=1,H1(79)=1,H2(79)=1,M0(79)=2,M1(79)=2,M2(79)=1
Ptn-80 C: H0(80)=1,H1(80)=1,H2(80)=1,M0(80)=2,M1(80)=2,M2(80)=1
Ptn-81 C: H0(81)=1,H1(81)=1,H2(81)=1,M0(81)=2,M1(81)=2,M2(81)=1
Ptn-82 C: H0(82)=1,H1(82)=1,H2(82)=1,M0(82)=2,M1(82)=2,M2(82)=1
Ptn-83 C: H0(83)=1,H1(83)=1,H2(83)=1,M0(83)=2,M1(83)=2,M2(83)=1
Ptn-84 C: H0(84)=1,H1(84)=1,H2(84)=1,M0(84)=2,M1(84)=2,M2(84)=1
Ptn-85 C: H0(85)=1,H1(85)=1,H2(85)=1,M0(85)=2,M1(85)=2,M2(85)=1
Ptn-86 C: H0(86)=1,H1(86)=1,H2(86)=1,M0(86)=2,M1(86)=2,M2(86)=1
Ptn-87 C: H0(87)=1,H1(87)=1,H2(87)=1,M0(87)=2,M1(87)=2,M2(87)=1
Ptn-88 C: H0(88)=1,H1(88)=1,H2(88)=1,M0(88)=2,M1(88)=2,M2(88)=1
Ptn-89 C: H0(89)=1,H1(89)=1,H2(89)=1,M0(89)=2,M1(89)=2,M2(89)=1
Ptn-90 C: H0(90)=1,H1(90)=1,H2(90)=1,M0(90)=2,M1(90)=2,M2(90)=1
Ptn-91 C: H0(91)=1,H1(91)=1,H2(91)=1,M0(91)=2,M1(91)=2,M2(91)=1
Ptn-92 C: H0(92)=1,H1(92)=1,H2(92)=1,M0(92)=2,M1(92)=2,M2(92)=1
Ptn-93 C: H0(93)=1,H1(93)=1,H2(93)=1,M0(93)=2,M1(93)=2,M2(93)=1
Ptn-94 C: H0(94)=1,H1(94)=1,H2(94)=1,M0(94)=2,M1(94)=2,M2(94)=1
Ptn-95 C: H0(95)=1,H1(95)=1,H2(95)=1,M0(95)=2,M1(95)=2,M2(95)=1
Ptn-96 C: H0(96)=1,H1(96)=1,H2(96)=1,M0(96)=2,M1(96)=2,M2(96)=1
Ptn-97 C: H0(97)=1,H1(97)=1,H2(97)=1,M0(97)=2,M1(97)=2,M2(97)=1
Ptn-98 C: H0(98)=1,H1(98)=1,H2(98)=1,M0(98)=2,M1(98)=2,M2(98)=1
Ptn-99 C: H0(99)=1,H1(99)=1,H2(99)=1,M0(99)=2,M1(99)=2,M2(99)=1
